"Name","Disabled","FileName","ExportName","Character","Skin","IsPicto","Type","Rarity","LockedForChronos","BundleCode","IsDefaultBattleEmote"
"emoji_piper_sad",,"sc/ui.sc","emoji_piper_sad","Sniper",,,2,0,,,
"emoji_piper_thanks",,"sc/ui.sc","emoji_piper_thanks","Sniper",,,4,2,,,
"emoji_poco",,"sc/ui.sc","emoji_poco","DeadMariachi",,TRUE,0,0,,,
"emoji_poco_angry",,"sc/ui.sc","emoji_poco_angry","DeadMariachi",,,3,0,,,
"emoji_poco_gg",,"sc/ui.sc","emoji_poco_gg","DeadMariachi",,,4,1,,,
"emoji_poco_sad",,"sc/ui.sc","emoji_poco_sad","DeadMariachi",,,2,0,,,
"emoji_poco_thanks",,"sc/ui.sc","emoji_poco_thanks","DeadMariachi",,,4,2,,,
"emoji_primo",,"sc/ui.sc","emoji_primo","Luchador",,TRUE,0,0,,,
"emoji_primo_angry",,"sc/ui.sc","emoji_primo_angry","Luchador",,,3,0,,,
"emoji_primo_gg",,"sc/ui.sc","emoji_primo_gg","Luchador",,,4,1,,,
"emoji_primo_sad",,"sc/ui.sc","emoji_primo_sad","Luchador",,,2,0,,,
"emoji_primo_thanks",,"sc/ui.sc","emoji_primo_thanks","Luchador",,,4,2,,,
"emoji_rage",,"sc/ui.sc","emoji_rage",,,,3,0,,,"TRUE"
"emoji_rico",,"sc/ui.sc","emoji_rico","TrickshotDude",,TRUE,0,0,,,
"emoji_rico_angry",,"sc/ui.sc","emoji_rico_angry","TrickshotDude",,,3,0,,,
"emoji_rico_gg",,"sc/ui.sc","emoji_rico_gg","TrickshotDude",,,4,1,,,
"emoji_rico_sad",,"sc/ui.sc","emoji_rico_sad","TrickshotDude",,,2,0,,,
"emoji_rico_thanks",,"sc/ui.sc","emoji_rico_thanks","TrickshotDude",,,4,2,,,
"emoji_rosa",,"sc/ui.sc","emoji_rosa","Rosa",,TRUE,0,0,,,
"emoji_rosa_angry",,"sc/ui.sc","emoji_rosa_angry","Rosa",,,3,0,,,
"emoji_rosa_gg",,"sc/ui.sc","emoji_rosa_gg","Rosa",,,4,1,,,
"emoji_rosa_sad",,"sc/ui.sc","emoji_rosa_sad","Rosa",,,2,0,,,
"emoji_rosa_thanks",,"sc/ui.sc","emoji_rosa_thanks","Rosa",,,4,2,,,
"emoji_sad",,"sc/ui.sc","emoji_sad",,,,2,0,,,"TRUE"
"emoji_sandy",,"sc/ui.sc","emoji_sandy","Sandstorm",,TRUE,0,0,,,
"emoji_sandy_angry",,"sc/ui.sc","emoji_sandy_angry","Sandstorm",,,3,0,,,
"emoji_sandy_gg",,"sc/ui.sc","emoji_sandy_gg","Sandstorm",,,4,1,,,
"emoji_sandy_sad",,"sc/ui.sc","emoji_sandy_sad","Sandstorm",,,2,0,,,
"emoji_sandy_thanks",,"sc/ui.sc","emoji_sandy_thanks","Sandstorm",,,4,2,,,
"emoji_shelly",,"sc/ui.sc","emoji_shelly","ShotgunGirl",,TRUE,0,0,,,
"emoji_shelly_angry",,"sc/ui.sc","emoji_shelly_angry","ShotgunGirl",,,3,0,,,
"emoji_shelly_gg",,"sc/ui.sc","emoji_shelly_gg","ShotgunGirl",,,4,1,,,
"emoji_shelly_sad",,"sc/ui.sc","emoji_shelly_sad","ShotgunGirl",,,2,0,,,
"emoji_shelly_thanks",,"sc/ui.sc","emoji_shelly_thanks","ShotgunGirl",,,4,2,,,
"emoji_shocked",,"sc/ui.sc","emoji_shocked",,,,4,,,,
"emoji_smile",,"sc/ui.sc","emoji_smile",,,,1,,,,"TRUE"
"emoji_speechless",,"sc/ui.sc","emoji_speechless",,,,4,,,,
"emoji_spike",,"sc/ui.sc","emoji_spike","Cactus",,TRUE,0,0,,,
"emoji_spike_angry",,"sc/ui.sc","emoji_spike_angry","Cactus",,,3,0,,,
"emoji_spike_gg",,"sc/ui.sc","emoji_spike_gg","Cactus",,,4,1,,,
"emoji_spike_sad",,"sc/ui.sc","emoji_spike_sad","Cactus",,,2,0,,,
"emoji_spike_thanks",,"sc/ui.sc","emoji_spike_thanks","Cactus",,,4,2,,,
"emoji_sprout",,"sc/ui.sc","emoji_sprout","Wally",,TRUE,0,0,,,
"emoji_sprout_angry",,"sc/ui.sc","emoji_sprout_angry","Wally",,,3,0,,,
"emoji_sprout_gg",,"sc/ui.sc","emoji_sprout_gg","Wally",,,4,1,,,
"emoji_sprout_sad",,"sc/ui.sc","emoji_sprout_sad","Wally",,,2,0,,,
"emoji_sprout_thanks",,"sc/ui.sc","emoji_sprout_thanks","Wally",,,4,2,,,
"emoji_stunned",,"sc/ui.sc","emoji_stunned",,,,4,,,,
"emoji_tara",,"sc/ui.sc","emoji_tara","BlackHole",,TRUE,0,0,,,
"emoji_tara_angry",,"sc/ui.sc","emoji_tara_angry","BlackHole",,,3,0,,,
"emoji_tara_gg",,"sc/ui.sc","emoji_tara_gg","BlackHole",,,4,1,,,
"emoji_tara_sad",,"sc/ui.sc","emoji_tara_sad","BlackHole",,,2,0,,,
"emoji_tara_thanks",,"sc/ui.sc","emoji_tara_thanks","BlackHole",,,4,2,,,
"emoji_thumbsdown",,"sc/ui.sc","emoji_thumbsdown",,,,4,,,,
"emoji_thumbsup",,"sc/ui.sc","emoji_thumbsup",,,,4,,,,
"emoji_tick",,"sc/ui.sc","emoji_tick","ClusterBombDude",,TRUE,0,0,,,
"emoji_tick_angry",,"sc/ui.sc","emoji_tick_angry","ClusterBombDude",,,3,0,,,
"emoji_tick_gg",,"sc/ui.sc","emoji_tick_gg","ClusterBombDude",,,4,1,,,
"emoji_tick_sad",,"sc/ui.sc","emoji_tick_sad","ClusterBombDude",,,2,0,,,
"emoji_tick_thanks",,"sc/ui.sc","emoji_tick_thanks","ClusterBombDude",,,4,2,,,
"emoji_8bit_happy",,"sc/ui.sc","emoji_8bit_happy","Arcade",,,1,0,,,
"emoji_barley_happy",,"sc/ui.sc","emoji_barley_happy","Barkeep",,,1,0,,,
"emoji_bea_happy",,"sc/ui.sc","emoji_bea_happy","BeeSniper",,,1,0,,,
"emoji_bibi_happy",,"sc/ui.sc","emoji_bibi_happy","Baseball",,,1,0,,,
"emoji_bo_happy",,"sc/ui.sc","emoji_bo_happy","BowDude",,,1,0,,,
"emoji_brock_happy",,"sc/ui.sc","emoji_brock_happy","RocketGirl",,,1,0,,,
"emoji_bull_happy",,"sc/ui.sc","emoji_bull_happy","BullDude",,,1,0,,,
"emoji_carl_happy",,"sc/ui.sc","emoji_carl_happy","Whirlwind",,,1,0,,,
"emoji_colt_happy",,"sc/ui.sc","emoji_colt_happy","Gunslinger",,,1,0,,,
"emoji_crow_happy",,"sc/ui.sc","emoji_crow_happy","Crow",,,1,0,,,
"emoji_darryl_happy",,"sc/ui.sc","emoji_darryl_happy","BarrelBot",,,1,0,,,
"emoji_dynamike_happy",,"sc/ui.sc","emoji_dynamike_happy","TntDude",,,1,0,,,
"emoji_emz_happy",,"sc/ui.sc","emoji_emz_happy","Mummy",,,1,0,,,
"emoji_frank_happy",,"sc/ui.sc","emoji_frank_happy","HammerDude",,,1,0,,,
"emoji_gene_happy",,"sc/ui.sc","emoji_gene_happy","HookDude",,,1,0,,,
"emoji_jacky_happy",,"sc/ui.sc","emoji_jacky_happy","Driller",,,1,0,,,
"emoji_jessie_happy",,"sc/ui.sc","emoji_jessie_happy","Mechanic",,,1,0,,,
"emoji_leon_happy",,"sc/ui.sc","emoji_leon_happy","Ninja",,,1,0,,,
"emoji_mortis_happy",,"sc/ui.sc","emoji_mortis_happy","Undertaker",,,1,0,,,
"emoji_nita_happy",,"sc/ui.sc","emoji_nita_happy","Shaman",,,1,0,,,
"emoji_pam_happy",,"sc/ui.sc","emoji_pam_happy","MinigunDude",,,1,0,,,
"emoji_penny_happy",,"sc/ui.sc","emoji_penny_happy","ArtilleryDude",,,1,0,,,
"emoji_piper_happy",,"sc/ui.sc","emoji_piper_happy","Sniper",,,1,0,,,
"emoji_poco_happy",,"sc/ui.sc","emoji_poco_happy","DeadMariachi",,,1,0,,,
"emoji_primo_happy",,"sc/ui.sc","emoji_primo_happy","Luchador",,,1,0,,,
"emoji_rico_happy",,"sc/ui.sc","emoji_rico_happy","TrickshotDude",,,1,0,,,
"emoji_rosa_happy",,"sc/ui.sc","emoji_rosa_happy","Rosa",,,1,0,,,
"emoji_sandy_happy",,"sc/ui.sc","emoji_sandy_happy","Sandstorm",,,1,0,,,
"emoji_shelly_happy",,"sc/ui.sc","emoji_shelly_happy","ShotgunGirl",,,1,0,,,
"emoji_spike_happy",,"sc/ui.sc","emoji_spike_happy","Cactus",,,1,0,,,
"emoji_sprout_happy",,"sc/ui.sc","emoji_sprout_happy","Wally",,,1,0,,,
"emoji_tara_happy",,"sc/ui.sc","emoji_tara_happy","BlackHole",,,1,0,,,
"emoji_tick_happy",,"sc/ui.sc","emoji_tick_happy","ClusterBombDude",,,1,0,,,
"emoji_gale",,"sc/ui.sc","emoji_gale","Blower",,TRUE,0,0,"TRUE",,
"emoji_gale_angry",,"sc/ui.sc","emoji_gale_angry","Blower",,,3,0,"TRUE",,
"emoji_gale_gg",,"sc/ui.sc","emoji_gale_gg","Blower",,,4,1,"TRUE",,
"emoji_gale_happy",,"sc/ui.sc","emoji_gale_happy","Blower",,,1,0,"TRUE",,
"emoji_gale_sad",,"sc/ui.sc","emoji_gale_sad","Blower",,,2,0,"TRUE",,
"emoji_gale_thanks",,"sc/ui.sc","emoji_gale_thanks","Blower",,,4,2,"TRUE",,
"emoji_gale_trader",,"sc/ui.sc","emoji_gale_trader","Blower","BlowerTrader",TRUE,4,4,,,
"emoji_gale_trader_angry",,"sc/ui.sc","emoji_gale_trader_angry","Blower","BlowerTrader",,4,4,,,
"emoji_gale_trader_gg",,"sc/ui.sc","emoji_gale_trader_gg","Blower","BlowerTrader",,4,4,,,
"emoji_gale_trader_happy",,"sc/ui.sc","emoji_gale_trader_happy","Blower","BlowerTrader",,4,4,,,
"emoji_gale_trader_sad",,"sc/ui.sc","emoji_gale_trader_sad","Blower","BlowerTrader",,4,4,,,
"emoji_gale_trader_thanks",,"sc/ui.sc","emoji_gale_trader_thanks","Blower","BlowerTrader",,4,4,,,
"emoji_nani",,"sc/ui.sc","emoji_nani","Controller",,TRUE,0,0,,,
"emoji_nani_angry",,"sc/ui.sc","emoji_nani_angry","Controller",,,3,0,,,
"emoji_nani_gg",,"sc/ui.sc","emoji_nani_gg","Controller",,,4,1,,,
"emoji_nani_happy",,"sc/ui.sc","emoji_nani_happy","Controller",,,1,0,,,
"emoji_nani_sad",,"sc/ui.sc","emoji_nani_sad","Controller",,,2,0,,,
"emoji_nani_thanks",,"sc/ui.sc","emoji_nani_thanks","Controller",,,4,2,,,
"emoji_8bit_phew",,"sc/ui.sc","emoji_8bit_phew","Arcade",,,4,2,,,
"emoji_barley_phew",,"sc/ui.sc","emoji_barley_phew","Barkeep",,,4,2,,,
"emoji_bea_phew",,"sc/ui.sc","emoji_bea_phew","BeeSniper",,,4,2,,,
"emoji_bibi_phew",,"sc/ui.sc","emoji_bibi_phew","Baseball",,,4,2,,,
"emoji_bo_phew",,"sc/ui.sc","emoji_bo_phew","BowDude",,,4,2,,,
"emoji_brock_phew",,"sc/ui.sc","emoji_brock_phew","RocketGirl",,,4,2,,,
"emoji_bull_phew",,"sc/ui.sc","emoji_bull_phew","BullDude",,,4,2,,,
"emoji_carl_phew",,"sc/ui.sc","emoji_carl_phew","Whirlwind",,,4,2,,,
"emoji_colt_phew",,"sc/ui.sc","emoji_colt_phew","Gunslinger",,,4,2,,,
"emoji_crow_phew",,"sc/ui.sc","emoji_crow_phew","Crow",,,4,2,,,
"emoji_darryl_phew",,"sc/ui.sc","emoji_darryl_phew","BarrelBot",,,4,2,,,
"emoji_dynamike_phew",,"sc/ui.sc","emoji_dynamike_phew","TntDude",,,4,2,,,
"emoji_emz_phew",,"sc/ui.sc","emoji_emz_phew","Mummy",,,4,2,,,
"emoji_frank_phew",,"sc/ui.sc","emoji_frank_phew","HammerDude",,,4,2,,,
"emoji_gale_phew",,"sc/ui.sc","emoji_gale_phew","Blower",,,4,2,"TRUE",,
"emoji_gale_trader_phew",,"sc/ui.sc","emoji_gale_trader_phew","Blower","BlowerTrader",,4,4,,,
"emoji_gene_phew",,"sc/ui.sc","emoji_gene_phew","HookDude",,,4,2,,,
"emoji_jacky_phew",,"sc/ui.sc","emoji_jacky_phew","Driller",,,4,2,,,
"emoji_jessie_phew",,"sc/ui.sc","emoji_jessie_phew","Mechanic",,,4,2,,,
"emoji_leon_phew",,"sc/ui.sc","emoji_leon_phew","Ninja",,,4,2,,,
"emoji_max_phew",,"sc/ui.sc","emoji_max_phew",,,,4,2,,,
"emoji_mortis_phew",,"sc/ui.sc","emoji_mortis_phew","Undertaker",,,4,2,,,
"emoji_mrp_phew",,"sc/ui.sc","emoji_mrp_phew",,,,4,2,,,
"emoji_nani_phew",,"sc/ui.sc","emoji_nani_phew","Controller",,,4,2,,,
"emoji_nita_phew",,"sc/ui.sc","emoji_nita_phew","Shaman",,,4,2,,,
"emoji_pam_phew",,"sc/ui.sc","emoji_pam_phew","MinigunDude",,,4,2,,,
"emoji_penny_phew",,"sc/ui.sc","emoji_penny_phew","ArtilleryDude",,,4,2,,,
"emoji_piper_phew",,"sc/ui.sc","emoji_piper_phew","Sniper",,,4,2,,,
"emoji_poco_phew",,"sc/ui.sc","emoji_poco_phew","DeadMariachi",,,4,2,,,
"emoji_primo_phew",,"sc/ui.sc","emoji_primo_phew","Luchador",,,4,2,,,
"emoji_rico_phew",,"sc/ui.sc","emoji_rico_phew","TrickshotDude",,,4,2,,,
"emoji_rosa_phew",,"sc/ui.sc","emoji_rosa_phew","Rosa",,,4,2,,,
"emoji_sandy_phew",,"sc/ui.sc","emoji_sandy_phew","Sandstorm",,,4,2,,,
"emoji_shelly_phew",,"sc/ui.sc","emoji_shelly_phew","ShotgunGirl",,,4,2,,,
"emoji_spike_phew",,"sc/ui.sc","emoji_spike_phew","Cactus",,,4,2,,,
"emoji_sprout_phew",,"sc/ui.sc","emoji_sprout_phew","Wally",,,4,2,,,
"emoji_tara_phew",,"sc/ui.sc","emoji_tara_phew","BlackHole",,,4,2,,,
"emoji_tick_phew",,"sc/ui.sc","emoji_tick_phew","ClusterBombDude",,,4,2,,,
"emoji_carl_special",,"sc/ui.sc","emoji_carl_special","Whirlwind",,,4,2,,,
"emoji_colt_special",,"sc/ui.sc","emoji_colt_special","Gunslinger",,,4,2,,,
"emoji_emz_special",,"sc/ui.sc","emoji_emz_special","Mummy",,,4,2,,,
"emoji_poco_special",,"sc/ui.sc","emoji_poco_special","DeadMariachi",,,4,2,,,
"emoji_sandy_special",,"sc/ui.sc","emoji_sandy_special","Sandstorm",,,4,2,,,
"emoji_tara_special",,"sc/ui.sc","emoji_tara_special","BlackHole",,,4,2,,,
"emoji_max",,"sc/ui.sc","emoji_max","Speedy",,TRUE,0,0,,,
"emoji_max_angry",,"sc/ui.sc","emoji_max_angry","Speedy",,,3,0,,,
"emoji_max_gg",,"sc/ui.sc","emoji_max_gg","Speedy",,,4,1,,,
"emoji_max_happy",,"sc/ui.sc","emoji_max_happy","Speedy",,,1,0,,,
"emoji_max_sad",,"sc/ui.sc","emoji_max_sad","Speedy",,,2,0,,,
"emoji_max_thanks",,"sc/ui.sc","emoji_max_thanks","Speedy",,,4,2,,,
"emoji_mrp",,"sc/ui.sc","emoji_mrp","SpawnerDude",,TRUE,0,0,,,
"emoji_mrp_angry",,"sc/ui.sc","emoji_mrp_angry","SpawnerDude",,,3,0,,,
"emoji_mrp_gg",,"sc/ui.sc","emoji_mrp_gg","SpawnerDude",,,4,1,,,
"emoji_mrp_happy",,"sc/ui.sc","emoji_mrp_happy","SpawnerDude",,,1,0,,,
"emoji_mrp_sad",,"sc/ui.sc","emoji_mrp_sad","SpawnerDude",,,2,0,,,
"emoji_mrp_thanks",,"sc/ui.sc","emoji_mrp_thanks","SpawnerDude",,,4,2,,,
"emoji_surge",,"sc/ui.sc","emoji_surge","PowerLeveler",,TRUE,0,0,,,
"emoji_surge_angry",,"sc/ui.sc","emoji_surge_angry","PowerLeveler",,,3,0,"TRUE",,
