"Name","TileSetPrefix","MaskedEnvironmentSCW","Blocking1SCW","Blocking1Mesh","Blocking1AngleStep","Blocking2SCW","Blocking2Mesh","Blocking2AngleStep","Blocking3SCW","Blocking3Mesh","Blocking3AngleStep","Blocking4SCW","Blocking4Mesh","Blocking4AngleStep","RespawningWallSCW","RespawningWallMesh","RespawningWallAngleStep","RespawningForestSCW","ForestSCW","DestructableSCW","DestructableMesh","DestructableAngleStep","DestructableSCW_CN","DestructableMesh_CN","DestructableAngleStep_CN","FragileSCW","FragileMesh","FragileAngleStep","FragileSCW_CN","FragileMesh_CN","FragileAngleStep_CN","WaterTileSCW","FenceSCW","RopeFenceSCW","RoadSCW","IndestructibleSCW","IndestructibleMesh","BenchSCW","GroundFillerSCW","LaserBallSkinOverride","MineGemSpawnSCWOverride","LootBoxSkinOverride","SafeSkinOverride","ShowdownBoostSCWOverride","MapPreviewBGColorRed","MapPreviewBGColorGreen","MapPreviewBGColorBlue","MapPreviewGemGrabSpawnHoleExportName","MapPreviewBallExportName","MapPreviewGoal1ExportName","MapPreviewGoal2ExportName","MapPreviewSafeExportName","MapPreviewCNOverrides"
,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrassfieldBeachBall","grassfield_",,"sc3d/rock2.scw","Rock_2",90,"sc3d/rock2.scw","Rock_2",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/ball_cactus.scw","ball_cactus",1,"sc3d/grass2.scw","sc3d/grass2.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/plant_1_small.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/vase_1.scw","vase_1",1,"sc3d/water_tile.scw","sc3d/wooden_fence.scw","sc3d/generic_rope_fence.scw","sc3d/minicity_street_tiles.scw","sc3d/brick1.scw","brick_1","sc3d/park_bench_1.scw",,"BallBeach",,,,,60,150,87,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1"
,,,"sc3d/rock2.scw","Rock_2b",90,"sc3d/rock2.scw","Rock_2b",90,,,,,,,,,,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Default",,,"sc3d/rock2.scw","Rock_2",90,"sc3d/rock2.scw","Rock_2",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/ball_cactus.scw","ball_cactus",1,"sc3d/grass2.scw","sc3d/grass3.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/plant_1_small_canyon.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/fragile_cactus.scw","fragile_cactus_1",1,"sc3d/water_tile.scw","sc3d/wooden_fence.scw","sc3d/canyon_rope_fence.scw","sc3d/minicity_street_tiles.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,,,,,,249,166,117,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>fragile_cactus;destructable_mid_1>fragile_cactus"
,,,"sc3d/rock2.scw","Rock_2b",90,"sc3d/rock2.scw","Rock_2b",90,,,,,,,,,,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,"sc3d/fragile_cactus.scw","fragile_cactus_2",1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,"sc3d/fragile_cactus.scw","fragile_cactus_3",1,,,,,,,,,,,,,,,,,,,,,,
"DarrylsShip","darryls_","sc3d/bgr_darryls_ship_hold.scw","sc3d/cargo_block_1.scw","cargo_block_1",90,"sc3d/pirate_chest.scw",,0,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/barrel_fishy.scw",,1,"sc3d/grass_seaweed.scw","sc3d/grass_seaweed.scw","sc3d/seaweed_small.scw","seaweed_deco_a",1,,,,"sc3d/cannon_balls.scw","cannon_balls",1,,,,"sc3d/water_tile_darryls_ship.scw","sc3d/wooden_fence_darryls_ship.scw","sc3d/generic_rope_fence.scw","sc3d/minicity_street_tiles.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,,"sc3d/mine_gem_spawn_darryls_ship.scw",,,,224,122,89,"darryls_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",
,,,"sc3d/cargo_block_1.scw","cargo_block_1b",90,,,,,,,,,,,,,,,,"seaweed_deco_b",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DarrylsXmas","darryls_","sc3d/bgr_darryls_ship_hold.scw","sc3d/cargo_block_1.scw","cargo_block_1",90,"sc3d/pirate_chest.scw",,0,"sc3d/crate_xmas.scw","crate_xmas",0,"sc3d/barrel_xmas.scw","barrel_xmas",1,"sc3d/barrel_fishy.scw",,1,"sc3d/grass_seaweed.scw","sc3d/grass_seaweed.scw","sc3d/seaweed_small.scw","seaweed_deco_a",1,,,,"sc3d/cannon_balls.scw","cannon_balls",1,,,,"sc3d/water_tile_darryls_ship.scw","sc3d/wooden_fence_darryls_ship.scw","sc3d/generic_rope_fence.scw","sc3d/minicity_street_tiles.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,,"sc3d/mine_gem_spawn_darryls_ship.scw",,,,224,122,89,"darryls_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",
,,,"sc3d/cargo_block_1.scw","cargo_block_1b",90,,,,,,,,,,,,,,,,"seaweed_deco_b",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arcade","arcade_",,"sc3d/concrete_block.scw","concrete_block",90,"sc3d/blocker_arcade.scw","blocker_arcade",0,"sc3d/crate2.scw","crate_1",0,"sc3d/barrel_arcade.scw","barrel_arcade",1,"sc3d/construction_sign.scw","construction_sign",180,"sc3d/grass7.scw","sc3d/grass7.scw","sc3d/pothole.scw","pothole",1,,,,"sc3d/traffic_cone.scw","traffic_cone",1,,,,"sc3d/water_tile_retropolis.scw","sc3d/fence_arcade.scw","sc3d/generic_rope_fence.scw","sc3d/minicity_street_tiles.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,,"sc3d/mine_gem_spawn_retropolis.scw",,,,50,44,79,"retropolis_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BBArena","bbarena_",,"sc3d/concrete_block.scw","concrete_block",90,"sc3d/car_tires.scw",,90,"sc3d/arena_blocker.scw","arena_blocker",90,"sc3d/barrel2.scw","barrel_2",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass2.scw","sc3d/grass2.scw","sc3d/plant_retropolis_small.scw","plant_retropolis",1,,,,"sc3d/traffic_cone.scw","traffic_cone",1,,,,"sc3d/water_tile.scw","sc3d/fence_arcade.scw","sc3d/generic_rope_fence.scw","sc3d/minicity_street_tiles.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,"BallArena","sc3d/mine_gem_spawn_retropolis.scw",,,,60,150,87,"retropolis_spawn_hole","icon_hud_brawl_ball_football","brawl_ball_goal_football_red","brawl_ball_goal_football_blue","heist_safe",
,,,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BBArenaPSG","bbarena_",,"sc3d/concrete_block.scw","concrete_block",90,"sc3d/car_tires.scw",,90,"sc3d/arena_blocker.scw","arena_blocker",90,"sc3d/barrel2.scw","barrel_2",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass2.scw","sc3d/grass2.scw","sc3d/plant_retropolis_small.scw","plant_retropolis",1,,,,"sc3d/traffic_cone.scw","traffic_cone",1,,,,"sc3d/water_tile.scw","sc3d/fence_arcade.scw","sc3d/generic_rope_fence.scw","sc3d/minicity_street_tiles.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,"BallArenaPSG","sc3d/mine_gem_spawn_retropolis.scw",,,,60,150,87,"retropolis_spawn_hole","icon_hud_brawl_ball_football","brawl_ball_goal_football_red","brawl_ball_goal_football_blue","heist_safe",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bazaar","bazaar_",,"sc3d/rock_bazaar_1.scw","rock_bazaar",180,"sc3d/rock_bazaar_2.scw","rock_bazaar_2",180,"sc3d/cargo_block_2.scw","cargo_block_2",90,"sc3d/bazaar_basket.scw","basket",1,"sc3d/vase_big.scw","vase_big",90,"sc3d/grass8.scw","sc3d/grass8.scw","sc3d/plant_1_small.scw",,1,,,,"sc3d/vase_1.scw","vase_1",1,,,,"sc3d/water_tile_bazaar.scw","sc3d/fence_bazaar.scw","sc3d/generic_rope_fence.scw","sc3d/minicity_street_tiles.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,,"sc3d/mine_gem_spawn_bazaar.scw",,,,186,92,85,"bazaar_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",
,,,"sc3d/rock_bazaar_1.scw","rock_bazaar_b",180,,,,"sc3d/cargo_block_2.scw","cargo_block_2b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minicity","minicity_",,"sc3d/minicity_building_1.scw","minicity_building_1",90,"sc3d/minicity_building_2.scw",,90,"sc3d/crate_minicity.scw","crate_minicity",90,"sc3d/barrel_minicity.scw","barrel_minicity",0,"sc3d/minicity_containers.scw",,180,"sc3d/grass_minicity.scw","sc3d/grass_minicity.scw","sc3d/minicity_deco_square.scw",,0,,,,"sc3d/minicity_fragile.scw",,0,,,,"sc3d/water_tile_minicity.scw","sc3d/fence_minicity.scw","sc3d/minicity_rope_fence.scw","sc3d/minicity_street_tiles.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw","sc3d/minicity_parked_cars.scw",,"sc3d/mine_gem_spawn_minicity.scw",,"SafeBank",,60,61,87,"minicity_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","minicity_heist_safe",
,,,"sc3d/minicity_building_1.scw","minicity_building_1b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
